AVL_INDEP_TIME,DATE,TIME,T_dem_E,SPEED,TORQUE,P,DC_Volt,DC_Curr,DC_Pow,SIG_Volt,SIG_Curr,SIG_Pow,MOTOR_mcu_eff,MOTOR_motor_eff,MOTOR_sys_eff,MOTOR_mcu_reg_eff,MOTOR_motor_reg_eff,MOTOR_sys_reg_eff,Freq_U,Freq_V,Freq_W,MCU_Inv_PWI,MCU_TM_PWO,MCU_Inv_TWI,mot_temp_1,L1L2_Volt,L1L3_Volt,L2L3_Volt,L1L2_Curr,L1L3_Curr,L2L3_Curr,INV_PF_SIGMA,C50_Int_Flow,Flux,Inv_Flux,ModulationIndex_cal,MCU_ModulationIndex,v2m_vehicleReq,v2m_controlModeReq,daxisCurrCmd,daxisCurrFbk,qaxisCurrCmd,qaxisCurrFbk,MotorTemp,Dummy1,Dummy2
38,2026/5/22,14:27:25,0,500,-0.6,-31,663.72,0.33,219,35.43,0,-8,-3.61,425.71,-14.15,-3006.28,25.51,-708.79,0,0,0,1.93,0.75,25.4,26.4,35.36,35.33,35.61,0,0,0,0,12.42,0.87415,0.0087,0.0685,0.0615,3,1,0,-0.1805,0,0.1318,44,114.41,1
39,2026/5/22,14:27:38,20,500,18.4,965,663.72,1.88,1251,37.01,16.13,1021,81.66,94.48,77.15,122.46,105.84,129.62,0,0,0,1.93,0.75,25.3,26.4,37.01,37.23,36.79,16.22,16.11,16.07,0.99,12.4,0.873356,0.0087,0.0715,0.1071,3,1,-2,-1.7478,23,22.9566,43,114.5,1
40,2026/5/22,14:28:06,40,500,38.1,1997,663.72,3.71,2462,39.13,32.45,2148,87.22,92.98,81.1,114.65,107.55,123.31,8.7,13.041,11.72,1.94,0.75,25.2,26.5,39.22,39.3,38.85,32.45,32.6,32.31,0.98,12.47,0.872862,0.0087,0.0756,0.1137,3,1,-10,-9.7363,45,45.2809,41,114.56,1
41,2026/5/22,14:28:17,60,500,57.4,3004,663.72,5.58,3704,41.63,47.75,3297,89,91.09,81.08,112.35,109.78,123.34,10.145,13.039,10.142,1.95,0.75,25.1,26.4,41.79,41.66,41.43,47.67,48.17,47.4,0.96,12.49,0.872895,0.0087,0.0804,0.1188,3,1,-19,-19.299,65,64.8207,40,114.57,1
42,2026/5/22,14:28:27,80,500,76.2,3992,663.71,7.5,4978,43.99,62.27,4469,89.78,89.35,80.22,111.38,111.92,124.66,18.842,20.294,21.748,1.95,0.75,25,26.5,44.11,43.95,43.9,62.13,62.97,61.71,0.94,12.51,0.873053,0.0087,0.085,0.1243,3,1,-30,-30.2186,83,83.0496,40,114.51,1
43,2026/5/22,14:28:39,100,500,96,5029,663.72,9.59,6363,46.46,77.18,5743,90.26,87.57,79.03,110.8,114.2,126.53,23.191,20.287,23.188,1.95,0.75,25,26.5,46.58,46.63,46.16,77.16,77.6,76.78,0.92,12.51,0.873222,0.0087,0.0898,0.13,3,1,-42,-42.029,101,101.1239,40.6,114.52,1
44,2026/5/22,14:28:50,120,500,114.9,6018,663.71,11.67,7743,48.85,91.29,7007,90.51,85.89,77.73,110.49,116.43,128.64,19.692,19.694,27.281,1.96,0.75,25,26.4,49.17,48.58,48.81,91.56,92.32,89.98,0.91,12.55,0.872906,0.0087,0.0944,0.1347,3,1,-53,-52.8372,118,117.7728,41,114.54,1
45,2026/5/22,14:29:00,140,500,134.6,7048,663.71,13.94,9250,50.86,106.03,8380,90.59,84.11,76.19,110.39,118.89,131.24,20.636,26.989,19.048,1.96,0.75,24.9,26.5,50.4,51.37,50.8,104.83,107,106.27,0.9,12.56,0.872651,0.0087,0.0983,0.1391,3,1,-68,-67.6123,134,134.2473,43,114.59,1
46,2026/5/22,14:29:11,160,500,154.4,8086,663.72,16.33,10836,52.68,121.05,9828,90.7,82.27,74.61,110.25,121.56,134.02,9.086,12.121,12.126,1.96,0.75,24.9,26.5,52.56,52.93,52.54,120.27,122.06,120.82,0.89,12.56,0.872903,0.0087,0.1018,0.1419,3,1,-85,-84.9449,149,148.9447,45,114.58,1
47,2026/5/22,14:29:22,180,500,173.7,9093,663.72,18.78,12462,54.58,135.95,11310,90.76,80.39,72.96,110.18,124.39,137.06,13.047,8.697,11.596,1.96,0.75,24.9,26.5,54.57,54.44,54.72,135.01,137.96,134.88,0.88,12.58,0.872865,0.0087,0.1055,0.1448,3,1,-101,-101.5418,164,164.0691,48.8,114.53,1
